"Backorders","Ausstehende Bestellung"
Pre-Orders,Vorbestellungen
Status,Status
"This product is Pre-Order and cannot be shipped","Dieser Produkt ist Vorbestellung und kann nicht transportiert werden"
SKU:,SKU:
Ordered,Bestellt
Pre-Ordered,Vorbestellt
Pre-Order,Pre-Order
"In stock","Im Angebot"
"Out stock","Ausser Verkauf"
"not Available","nicht erreichbar"
"Add to Cart","Zur Liste hinzufuegen"
"Pre-order","Vorbestellung "
"In Stock","Im Geschaeft"
"Out Stock","Ausser Verkauf"
available,zugaenglich
"Pending Pre-Order","Wartende Vorbestellung"
"Processing Pre-Order","Vorbestellung wird bearbeitet"
Preorders,Vorbestellungen
"Pre-Order Note",Vorbestellungnotiz
"Pre-Order Status","Status der Vorbestellung"
