"Manage Rates","Manage Rates"
"Geo Filter","Geo Filter"
"Currency Geo Filter","Currency Geo Filter"
"Readjust Order Currency","Readjust Order Currency"
"If enabled then currency will be corrected during the checkout process according to the method chosen below.","If enabled then currency will be corrected during the checkout process according to the method chosen below."
"Readjust Order Currency By","Readjust Order Currency By"
"Readjust order currency method selector. Available options are: "Shipping Address", "Billing Address". "Shipping Address" option means currency must be recalculated according to the shipping address entered. "Billing Address" makes currency dependent on billing address accordingly.","Readjust order currency method selector. Available options are: "Shipping Address", "Billing Address". "Shipping Address" option means currency must be recalculated according to the shipping address entered. "Billing Address" makes currency dependent on billing address accordingly."
"Shipping Address","Shipping Address"
"Billing Address","Billing Address"
"System","System"
"Currencies","Currencies"
"Currency countries have been saved.","Currency countries have been saved."
"Currency","Currency"
"Available Countries","Available Countries"
"Selected Countries","Selected Countries"
"Redirect To Website By Currency","Redirect To Website By Currency"
