"Customer Locator","Customer Locator"
"Your location has been saved.","Your location has been saved."
"Options","Options"
"Allow a customer to modify a location","Allow a customer to modify a location"
"Apply default shipping address","Apply default shipping address"
"Region/State is required","Region/State is required"
"ZIP/Postal Code is required","ZIP/Postal Code is required"
"City is required","City is required"
"Default Location","Default Location"
"Country","Country"
"Region/State","Region/State"
"Zip/Postal Code","Zip/Postal Code"
"City","City"
"Your Location","Your Location"
"State/Province","State/Province"
"Please select region","Please select region"
"Apply","Apply"
